Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,₹5L - ₹20L (Employer Est.),"Dear Candidate,
Greetings from Quanteon Solutions !!! We are delighted to share our job opportunity with you.
About Quanteon:
Quanteon Solutions helps businesses to improve customer experience and increase process efficiencies with enterprise grade technology solutions. Enterprises across multiple industry domains as well as software product companies leverage our expertise and services in realizing their business vision into marketable solutions for their customers, employees and partners. Our specialization in emerging technologies and experience in activities across the software development lifecycle from architecture definition to software development to infrastructure management helps businesses to build and rollout solutions to the market faster.
Quanteon Solutions based in Hyderabad is looking for a Data Scientist. Quanteon has multiple customers based in the USA providing design and development services. Quanteon also works on developing its own products. We are looking for interested candidates with experience and proven expertise in leading technical teams in day to day development of our services and products.",-1,Quanteon Solutions,Hyderābād,-1,-1,-1,-1,-1,-1
Data Scientist,₹3L - ₹4L (Glassdoor Est.),"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.
Join Visa: A Network Working for Everyone.",4.1,Visa,Bangalore,-1,-1,-1,-1,-1,-1
Jr Data Scientist,₹7L - ₹9L (Glassdoor Est.),"The Jr Data Scientist role involves the application of various tools, data mining, statistical techniques, algorithms and machine learning principles to identify trends, patterns and insights from raw data. Data scientists extract meaning from data, uncover insights and identify opportunities to inform business decision making.
Join Pluto7

Pluto7 is a tech-enabled solutions company and has expertise in Machine Learning, AI, Data Analytics services on Cloud Platform.

At Pluto7, our core business model is to deliver data driven platforms and solutions to enterprises globally, helping them solve their customer experience and supply chain challenges and making their supply chains intelligent and resilient.",3.6,Pluto7,Bangalore,-1,-1,-1,-1,-1,-1
A&A -Data Scientist - AI POD,₹7L - ₹9L (Glassdoor Est.),"Position Summary
Data Sciences
As a Data Science candidate, you will be expected to be hands-on & outcome focused to deliver end to end Data Science projects. You should also possess a proven track record of delivering & managing multiple Data Science projects through its complete lifecycle starting from defining the business problem to recommending action driven insights. You are expected to demonstrate leadership, analytical & project management qualities to not only execute projects independently but drive multiple projects to completion through collaboration, mentoring & consulting in a demanding environment.
Work you’ll do
Liaison with on site and client teams to understand various business problem statements analytical requirements",4.1,Deloitte,Bangalore,-1,-1,-1,-1,-1,-1
Data Scientist,₹5L - ₹7L (Glassdoor Est.),"About PayU
PayU, a leading payment and Fintech company in 50+ high-growth markets throughout Asia, Central and Eastern Europe, Latin America, the Middle East and Africa, part of Prosus group, one of the largest technology investors in the world is redefining the way people buy and sell online for our 300.000+ merchants and millions of consumers.

As a leading online payment service provider, we deploy more than 400 payment methods and PCI-certified platforms to process approximately 6 million payments every single day.

Role: Data Scientist
Location preference: Mumbai / Bangalore
About PayU
PayU, a leading payment and Fintech company in 50+ high-growth markets throughout Asia, Central and Eastern Europe, Latin America, the Middle East and Africa, part of Prosus group, one of the largest technology investors in the world is redefining the way people buy and sell online for our 300.000+ merchants and millions of consumers.",3.9,PayU,Bangalore,-1,-1,-1,-1,-1,-1
Data Scientist Trainer,-1,"We're a premier edtech company looking for a freelance data scientist trainer to teach our students on weekends. You can make extra income from the comfort of home by teaching students part time on weekends. Minimum experience in data science should be 2 years.
Job Types: Full-time, Part-time, Regular / Permanent, Contractual / Temporary, Freelance
Contract length: 12 months
Part-time hours: 6 per week
Salary: ₹298,160.11 - ₹1,491,330.18 per year
Benefits:
Flexible schedule
Internet reimbursement",-1,Access Million,"Pune
Easy Apply
4d",-1,-1,-1,-1,-1,-1
Data Scientist 1,₹3L - ₹3L (Glassdoor Est.),"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: What you need to know about the role: We are looking for a Risk Analyst is to develop PayPal’s Risk strategy within Consumer Risk portfolio. This portfolio is comprised of PayPal’s newest leading-edge payments solutions as well as customized experiences developed for the company’s highest-priority strategic partnerships. The team is also responsible for partnering with the corresponding Business Units to align with and influence their strategic priorities, educate business partners about Risk management principles, and collaboratively optimize the Risk treatments and experiences for these unique products and partners. Each Data Scientist in this team has full ownership of a sub-portfolio of merchants/ countries/ products and is responsible for end-to-end management of loss and decline rate strategies. Day-to-day duties include data analysis, monitoring and forecasting, creating the risk decision logic using BigData/Hadoop tools and implementing risk rules/ strategies using Analytics techniques such as Decision Tree, providing requirements to AI/ML modeling and technology teams on attribute, model and platform requirements, and communicating with global stakeholders to ensure we deliver the best possible customer experience while meeting loss rate targets. If you’re interested in working with PayPal’s most interesting payments experiences, then this is the right team for to join!",4.2,PayPal,Bangalore,-1,-1,-1,-1,-1,-1
Machine Learning Engineer,₹3L - ₹5L (Employer Est.),"Although the specific duties will vary depending on the size of an organization and the overall data science team, a typical Machine Learning Engineer job description will include all or most of the following responsibilities:
Designing, developing, and researching Machine Learning systems, models, and schemes
Studying, transforming, and converting data science prototypes
Searching and selecting appropriate data sets before performing data collection and data modeling
Performing statistical analysis and using results to improve models
Training and retraining ML systems and models as needed
Identifying differences in data distribution that could affect model performance in real-world situations
Visualizing data for deeper insights",-1,Pressman Advertising Ltd,Mumbai,-1,-1,-1,-1,-1,-1
Data Scientist,₹6L - ₹18L (Employer Est.),"Expertise in Dialog flow API, Deep Learning, NLP, Machine Learning Algorithms, SQL, Neo4J, Dockers, Redis.
Good experience with NLP techniques such as NLTK, Spacy, NER, Text-Pre-processing and web scrapping methods and other techniques.
Should have working with Deep Learning models such as Question & Answering (RNN, LSTM, and Seq 2 seq), Text Summarization (Hugging Face), BERT, Word2Vec, etc, deploying models such as GCP, AWS, etc. Machine Learning Algorithms.
Good knowledge of SQL servers and creating APIs.
Knowledge of Redis server, PHP programming, and Dockers
Job Types: Full-time, Regular / Permanent
Salary: ₹600,000.00 - ₹1,800,000.00 per year",-1,Inumellas Consultancy Services,Hyderābād,-1,-1,-1,-1,-1,-1
Data Scientist,₹20L - ₹25L (Employer Est.),"Job Role -Data Scientists
Experience -6+ yrs preferred from Fintech
Salary CTC offered up to 25LPA
Job Location : Mumbai
Key Skills
Experience in data wrangling (SQL, Pandas, DataFrames) and familiarity with various databases
Experience in at least one statistical programming language (R or Python)
Experience in applying statistical techniques (descriptive and inferential statistics, statistical tests)",3.6,Voizworks,Mumbai,-1,-1,-1,-1,-1,-1
Data Scientist,₹4L (Employer Est.),"Oportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of
duct development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniquês.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad
argeting and other business outcomes. f
Coordinate with different functional teams to implement models and monitor outcomes
Assure that all aspects of method development, validation, troubleshooting and laboratorycompliance procedures are in accordance with regulatory guidelines. * Operation, calibration, and maintenance of instruments and equipment according to SOPs.",-1,Mapcom info Solution Limited,Bangalore,-1,-1,-1,-1,-1,-1
Data Scientist,₹4L - ₹8L (Glassdoor Est.),"Responsibilities
• Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning & validation • Present findings to business users & project management teams • Propose ML based solution approaches & estimates for new use cases • Contribute to AI based modules in Infosys solutions development • Explore new advances in AI continuously and execute PoCs • Mentoring – guide junior team members & evangelize AI in organization Technical skills • Programming: Python, R, SQL • ML algorithms: o Statistical ML algorithms o Deep Neural Network architectures o Model ensembling o Generative AI models o ML for Responsible AI • AI domains - NLP, speech, computer vision, structured data • Learning patterns – supervised, unsupervised, reinforcement learning • Tools for data analysis, auto ML, model deployment & scaling • Knowledge of datasets, pre-built models available in open community and 3rd party providers • Knowledge of software development & architectures • Knowledge of hyperscalers & their AI capabilities – Azure, AWS, GCP
Additional Responsibilities:
Soft Skills • Good verbal & written communication skills – articulate value of AI to business, project managers & other team members • Ability to break complex problem into smaller problems and create hypothesis • Innovation and experimentation Academic background • Degree in quantitative field – mathematics/ statistics/ computer science/ engineering
Preferred Skills:
Bigdata->Spark,Bigdata->Python,Artificial Intelligence->Data Science,Machine Learning->Data Science
Educational Requirements
Bachelor of Engineering",3.9,Infosys Limited,Bangalore,-1,-1,-1,-1,-1,-1
Data Scientist,₹7L - ₹8L (Glassdoor Est.),"Job Description – Data Scientist

3-5 years experience

Roles & Responsibilities:
Ability to understand a problem statement and implement solutions & techniques for solving natural language processing, text analytics, and information extraction problems, as well as structured data problems.
Work and collaborate with other teams to deliver and create value for clients
Fast learner: ability to learn and pick up a new language/tool/ platform quickly",3.7,CoStrategix,Bangalore,-1,-1,-1,-1,-1,-1
Associate Data Scientist-(H/F),₹9L - ₹10L (Glassdoor Est.),"Vos missions au quotidien
Python & ML (2.5-4 yrs exp)
Good Knowledge of Python and libraries used in machine learning
Good Knowledge of Machine learning algorithms
Good in Statistics
Good knowledge of SQL/PostGre SQL
Should have experience in data handling, data manipulation and finding insights from data.
Must have working knowledge of APIs
Should be able to take ownership of projects.",3.7,Société Générale,Chennai,-1,-1,-1,-1,-1,-1
Data Scientist II,₹2L - ₹2L (Glassdoor Est.),"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Job Title
Data Scientist II
Job Description –Data Analytics Team – Data Scientist
Overview
Data Analytics has pioneered a transaction based revenue methodology to inform and guide Mastercard’s Strategy, Product Design and Innovation. We build internal analytic partnerships, strengthening their focus on the health of the business, portfolio and revenue optimization opportunities, initiative tracking, new product development and Go-To Market strategies.
Role
All About You

Education

Additional Competencies",4.3,Mastercard,Gurgaon,-1,-1,-1,-1,-1,-1
AI ML Engineer || Bangalore,₹10L - ₹25L (Employer Est.),"· Developing and enhancing algorithms and models to solve business problem.
· Design, develop and deploy ML algorithms.
· Translate ideas into working solutions.
· Collaborate with a team of data scientists and engineers to achieve team goals.
· Develop technology capability of organization
Job Type: Full-time
Salary: ₹1,000,000.00 - ₹2,500,000.00 per year
Schedule:",-1,Talent Ladder Consulting,Bangalore,-1,-1,-1,-1,-1,-1
Sr. Data Scientist,₹10L - ₹20L (Employer Est.),"work closely with your business to identify issues and use data to propose solutions for effective decision making. build algorithms and design experiments to merge, manage, interrogate and extract data to supply tailored reports to colleagues, customers or the wider organisation.
Job Type: Full-time
Salary: ₹1,000,000.00 - ₹2,000,000.00 per year
Schedule:
Day shift
Experience:
Python: 4 years (Required)",3.0,Acme Hr Consulting,Bangalore,-1,-1,-1,-1,-1,-1
Hiring Data Scientist at Elixir AI,₹1L - ₹2L (Employer Est.),"Hi,
We are hiring Data Scientist for Artificial Intelligence base company ""Elixir AI""
Exp: 0 to 1 year (Freshers are welcome)
Location: Goa
Job Description:
Proficiency in SQL.
Hands on experience on Analytical tools like Power BI, Tableau, R, Python.
Logical reasoning & Strategic thinking, Problem solving capabilities.
Knowledge of Statistics.",-1,Intelliveiw,Verna,-1,-1,-1,-1,-1,-1
Senior Data Scientist,₹10L - ₹15L (Employer Est.),"Optimum Data Analytics (ODA)
We are a Data Science and Digital Transformation Company with a core objective to
bring the power of data using AI and Machine Learning to multiple verticals and
domains making businesses future-ready and profitable.
We looking for an Experienced Data Scientist to help drive actionable insights through advanced statistical modelling and machine learning algorithms with our product team. The ideal candidate should conduct and manage analysis and modeling in the areas of time series forecasting, regression, simulation, classification etc.
The Position:
We’re looking for a full-time Data Scientist (DS) with experience in –
 Good understanding of python, should be able to productionize existing code,
 Data analysis and visualisation, with python,
 Basic understanding of API (flask, fastAPI)
 Experience in working on visualisation tools like Power BI, Tableau
 Overall Experience – 3 to 5 Years
 Relevant DS Experience – 2-4 years
 Salary Range: - 10 L to 15 L PA.",-1,Optimum Data Analytics,Pune,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Talentica Software product engineering company started by IITB alumni. It is a privately held company. Talentica’s focus is to help build products for startups. Over the last 19 years, the company has worked with over 170+ startups, ensuring successful exits for many of them. What makes Talentica different?
Quality of people – All engineers are graduates from top colleges - IIT’s, NIT’s and IISC.
Product DNA – Focus on achieving product outcomes through innovation and technology
Technical expertise – Focus on cutting edge technologies, cloud, AI / ML and Blockchain
Data Science Team
The data science team works closely with the product engineering teams to enable product features / solve problems using Machine Learning and AI. The team has deployed over 25 ML solutions in production till date in the areas of Predictive analytics, time series forecasting, NLP, Virtual assistants, object detection etc. using both Classical and Deep learning techniques.",4.3,Talentica Software India,"Pune
3d",-1,-1,-1,-1,-1,-1
